0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0.31664625,-0.03790935,0.054355673,0.22295217,0.18356143,0.28834403,0.22411188,0.06888887,0.28244033,0.41490722,0.14398067,-0.012326643,0.023312218,0.21365333,-0.12573707,-0.11214038,0.043715514,-0.013056057,-0.3029448,0.3645054,0.057854928,0.009061189,0.015319899,0.148678,-0.052597508,-0.048986144,-0.38878435,0.19029133,-0.116631605,0.28650331,0.23414421,-0.36785525
0.004947546,0.08162907,-0.084019855,0.10331448,-0.08130045,0.030583058,-0.13745786,-0.060573705,-0.04291641,0.045915492,-0.064371325,-0.12097764,0.109784074,-0.093807675,0.07337311,-0.071932904,0.01851705,-0.14330243,0.06351708,-0.034072727,0.044346087,-0.030924844,-0.1940875,0.10324348,-0.2004028,-0.09352248,-0.0781426,-0.14787123,-0.024464302,0.1448208,0.013697498,-0.011573367
-0.15511078,-0.015559815,-0.15859647,0.013442747,-0.20990163,-0.1955976,0.08084395,-0.29735458,-0.0018682033,-0.26251045,-0.1325998,-0.11927581,0.15603918,0.1673727,-0.055086732,-0.06832584,0.15818389,-0.037361916,0.18137778,0.1674551,-0.01064983,-0.030514436,-0.08753687,0.061806582,0.008803172,-0.056924097,0.034216035,0.08507992,-0.07186062,-0.013767507,-0.1464641,0.29273152
0.032900464,0.42716503,0.5621096,-0.24447265,0.4133156,-0.94294935,-0.23387626,-0.30424178,0.60403967,-0.47392997,-0.4460331,0.71410835,0.4958024,-0.085406795,0.43433174,0.23186459,0.8883043,1.1407524,-0.11977571,-0.660172,-0.033603817,-0.41907334,0.14261797,0.05928921,-0.22446461,-0.09143048,1.0264932,0.041682914,0.02707532,-0.19418514,-0.2371565,0.26226014
0.16584991,0.34089053,0.82068276,-0.35844666,0.6345474,-0.9460524,-0.21711248,-0.2573066,0.60965246,-0.58828956,-0.2745811,0.842929,0.5600138,-0.04627672,0.6555699,0.4176782,0.84458643,1.3132023,-0.112465195,-0.59977686,-0.16386239,-0.46755677,0.38797402,0.01819665,-0.23159994,-0.12903696,1.0165099,0.14661334,-0.08804653,-0.30591157,-0.24523003,0.29801106
-0.0504555,0.24533378,-0.06720231,0.07130467,-0.13125688,-0.2072145,-0.34866086,-0.20025831,0.012441803,-0.0036953874,-0.27146754,0.042888887,0.17385775,-0.29704502,0.16195275,-0.12244354,0.27253956,0.03967533,0.11488202,-0.3847414,0.15832323,-0.038794704,-0.3578279,0.13395241,-0.26300666,-0.09547833,0.2385996,-0.33007604,0.118818685,0.11424759,-0.08224645,0.071964785
0.09494466,0.10137269,-0.04836621,0.14036685,-0.011539511,0.048884194,-0.18230316,-0.049867265,-0.022718921,0.15854293,-0.08772851,-0.040928017,0.11980531,-0.17780389,0.078425705,-0.10133252,0.07112281,-0.056409016,0.025322229,-0.108163044,0.08632045,-0.019886175,-0.21030194,0.12247699,-0.24109386,-0.11549374,-0.08605553,-0.18294352,0.011181958,0.18624733,0.03391996,-0.10367595
-0.13910182,0.035244033,-0.129946,0.024944343,-0.20363891,-0.16109931,-0.064353794,-0.20016798,-0.030275598,-0.19053152,-0.1302009,-0.12086888,0.1516262,0.027610028,0.031906992,-0.068972126,0.113092855,-0.07909641,0.16162378,0.013277486,0.013524629,-0.015777895,-0.16159749,0.07405109,-0.08140049,-0.06787137,0.030946022,-0.042284846,-0.040652268,0.026897542,-0.086001575,0.2222353
-0.27598697,-2.2130055,-0.20277262,-0.97242355,-1.5523819,-1.0220674,2.0025141,0.29060918,0.59815544,-0.81694335,0.12919888,-0.36825132,-0.45248428,2.58173,-0.85602117,-0.049316153,0.26339203,0.57850736,-0.70067173,2.7575266,0.12860711,1.0386659,1.5373756,-0.94326526,1.5950065,1.1562637,-0.6785401,1.5241361,-1.1590456,-1.1229396,1.2015797,0.528928
0.5962545,-0.49996328,1.5407684,-1.1711558,1.6840268,0.61277413,0.7426327,0.9013985,1.1583674,-0.029149445,0.737281,0.013601698,0.14448622,0.5093045,-0.21165848,1.880959,-1.1357414,0.7874732,-1.299564,0.663093,-1.1568903,-1.8821458,1.3587979,0.04581081,0.21085593,0.89128923,-0.6609807,0.954189,-0.8446277,-1.1929157,0.40441078,-0.26120275
